food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
biscuit with egg sausage,505,33.6,10.4,16.2,4.8,34.1,1.5,18.0,0.3,260.8,1.1,72.1,0.071,0.5,0.035,0.083,0.4,4.0,1.5,0.1,0.0,0.047,1.5,0.042,82.6,0.4,3.1,21.1,0.2,505.4,241.4,0.002,1.5,171.757
chicken chow mein,513,16.9,3.0,3.7,7.4,50.1,10.5,40.8,6.0,96.6,1.9,489.3,0.093,0.2,0.0,0.092,0.1,8.9,1.6,1.1,12.1,0.0,2.6,0.1,126.8,0.2,4.0,66.4,0.6,326.2,749.0,0.086,1.9,256.797
sausage mcmuffin mcdonalds,383,24.2,8.3,8.9,3.7,28.2,2.2,14.6,1.6,44.9,0.8,44.8,0.0,0.4,0.008,0.03,0.3,4.8,0.6,0.2,0.0,0.0,0.3,0.0,257.6,0.1,2.3,24.2,0.3,187.5,216.2,0.0,1.5,328.5
sausage mcgriddles mcdonalds,421,24.0,7.3,10.2,3.5,42.2,15.2,11.4,1.4,32.4,1.0,54.1,0.0,0.3,0.037,0.038,0.2,4.2,0.5,0.1,0.0,0.0,0.0,0.0,85.1,0.1,1.9,18.9,0.3,426.6,195.8,0.0,1.0,166.0
sausage biscuit mcdonalds,440,29.7,12.5,10.3,4.0,31.8,2.3,11.3,1.4,33.9,1.0,40.6,0.049,0.5,0.1,0.029,0.3,5.0,0.6,0.1,0.0,0.0,0.9,0.0,64.4,0.031,2.4,15.2,0.2,377.9,207.1,0.0,1.0,141.05
hotcakes sausage mcdonalds,776,34.9,7.3,9.0,6.5,102.4,45.7,15.5,2.1,50.2,0.9,107.4,0.0,0.6,0.1,0.004,0.5,5.2,1.4,0.2,0.0,0.0,0.0,0.0,134.6,0.2,3.2,37.0,0.4,451.4,390.7,0.0,1.3,292.7
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,4.7,9.1,7.8,59.8,13.3,35.3,3.4,72.0,1.2,116.7,0.0,0.5,0.0,0.0,0.4,12.6,2.3,0.0,10.3,0.0,0.0,0.0,84.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,219.1
cheeseburger burger king,380,19.7,9.1,7.6,2.0,31.5,6.0,19.4,3.7,59.9,0.8,59.3,0.0,0.4,0.0,0.0,0.3,4.5,0.3,0.1,0.3,0.0,0.1,0.093,123.7,0.1,3.3,31.9,0.4,190.2,236.7,0.028,3.2,201.6
double cheeseburger,643,36.9,15.9,13.7,3.0,41.0,9.5,37.0,2.1,114.0,0.9,107.5,1.6,0.1,0.5,0.1,0.062,0.5,7.9,0.6,0.5,6.6,0.033,0.8,0.054,342.0,0.2,5.4,47.9,0.3,376.2,515.3,0.017,119.347
double hamburger,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,1.5,0.0,0.7,0.2,0.036,0.7,12.1,0.7,0.4,0.7,0.059,2.5,0.094,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.026,169.626
big n tasty with cheese mcdonalds,573,36.0,10.8,10.7,7.1,39.7,9.5,27.2,3.2,91.4,1.0,140.1,0.0,0.3,0.1,0.07,0.7,7.8,0.0,0.0,4.4,0.0,0.0,0.0,224.8,0.2,4.4,44.5,0.4,281.6,491.5,0.0,5.1,339.7
premium grilled chicken club sandwich mcdonalds,493,18.0,6.4,5.6,4.8,44.3,6.4,38.3,2.7,102.6,1.0,117.1,0.0,0.4,0.0,0.0,0.4,12.4,1.8,0.0,9.8,0.0,0.0,0.0,211.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,328.1
quarter pounder mcdonalds,417,19.8,6.9,7.2,0.5,37.9,8.8,24.1,2.7,66.7,0.7,86.1,0.0,0.3,0.052,0.029,0.6,7.6,0.0,0.0,1.5,0.0,0.0,0.0,143.6,0.2,4.1,37.6,0.3,212.0,388.2,0.0,4.6,233.7
premium crispy chicken classic sandwich mcdonalds,524,20.0,3.2,7.3,8.5,58.6,12.4,27.8,3.2,59.8,1.0,119.6,0.0,0.5,0.1,0.0,0.4,12.7,2.4,0.0,5.8,0.0,0.0,0.0,78.2,0.2,3.3,62.1,1.0,370.3,522.1,0.0,1.5,196.9
quarter pounder with cheese mcdonalds,513,28.3,11.2,9.2,0.9,39.7,9.8,29.0,2.8,93.5,1.2,97.3,0.0,0.3,0.1,0.068,0.7,7.7,0.0,0.0,1.6,0.0,0.0,0.0,286.6,0.2,4.2,43.8,0.3,320.4,435.8,0.0,5.2,392.2
double whopper with cheese burger king,1061,68.1,27.9,25.1,11.9,53.9,14.4,57.7,6.4,187.5,1.5,212.6,0.0,1.1,0.1,0.0,0.8,12.0,0.8,0.4,0.8,0.0,0.2,0.082,311.2,0.3,21.1,75.8,0.6,510.7,754.1,0.075,14.0,519.2
big mac mcdonalds,563,32.8,8.3,7.6,0.7,44.0,8.7,25.9,3.5,78.8,1.0,112.3,0.0,0.4,0.1,0.048,0.5,7.4,0.0,0.0,0.9,0.0,0.0,0.0,254.0,0.2,4.4,43.8,0.5,267.2,396.4,0.0,4.2,365.5
sandwich with cold cuts,833,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221.0,0.5,0.004,1.3,0.4,0.051,1.0,16.9,1.5,0.8,29.3,0.012,1.6,0.023,668.6,0.5,7.1,78.2,0.9,437.9,1102.6,0.065,166.871
